PALAVRAS DA ARVORE AVL COM A QUANTIDADE DE OCORRENCIAS
PALAVRA: a                             	Qtde: 21728
PALAVRA: aback                         	Qtde: 16
PALAVRA: abandon                       	Qtde: 16
PALAVRA: abandoned                     	Qtde: 64
PALAVRA: abandoning                    	Qtde: 16
PALAVRA: abandons                      	Qtde: 16
PALAVRA: abetting                      	Qtde: 16
PALAVRA: abhor                         	Qtde: 16
PALAVRA: abide                         	Qtde: 16
PALAVRA: abilities                     	Qtde: 16
PALAVRA: ability                       	Qtde: 32
PALAVRA: able                          	Qtde: 400
PALAVRA: ablebodied                    	Qtde: 16
PALAVRA: ablebut                       	Qtde: 16
PALAVRA: abode                         	Qtde: 48
PALAVRA: abortive                      	Qtde: 16
PALAVRA: about                         	Qtde: 1808
PALAVRA: above                         	Qtde: 128
PALAVRA: abreast                       	Qtde: 16
PALAVRA: absence                       	Qtde: 64
PALAVRA: absent                        	Qtde: 48
PALAVRA: absentminded                  	Qtde: 64
PALAVRA: absolute                      	Qtde: 16
PALAVRA: absolutely                    	Qtde: 32
PALAVRA: absorbed                      	Qtde: 32
PALAVRA: absorbing                     	Qtde: 16
PALAVRA: abstracted                    	Qtde: 16
PALAVRA: absurd                        	Qtde: 32
PALAVRA: abusing                       	Qtde: 16
PALAVRA: accent                        	Qtde: 32
PALAVRA: accept                        	Qtde: 96
PALAVRA: accepted                      	Qtde: 48
PALAVRA: accepting                     	Qtde: 16
PALAVRA: access                        	Qtde: 160
PALAVRA: accessed                      	Qtde: 16
PALAVRA: accessible                    	Qtde: 16
PALAVRA: accessory                     	Qtde: 16
PALAVRA: accidental                    	Qtde: 16
PALAVRA: accompany                     	Qtde: 16
PALAVRA: accomplice                    	Qtde: 32
PALAVRA: accomplished                  	Qtde: 32
PALAVRA: accord                        	Qtde: 16
PALAVRA: accordance                    	Qtde: 48
PALAVRA: according                     	Qtde: 32
PALAVRA: account                       	Qtde: 144
PALAVRA: accounted                     	Qtde: 16
PALAVRA: accounts                      	Qtde: 32
PALAVRA: accurate                      	Qtde: 16
PALAVRA: accurately                    	Qtde: 16
PALAVRA: accustomed                    	Qtde: 32
PALAVRA: achievements                  	Qtde: 16
PALAVRA: acknowledge                   	Qtde: 80
PALAVRA: acknowledged                  	Qtde: 16
PALAVRA: acquaintance                  	Qtde: 112
PALAVRA: acquaintances                 	Qtde: 16
PALAVRA: acquired                      	Qtde: 16
PALAVRA: acrid                         	Qtde: 16
PALAVRA: across                        	Qtde: 464
PALAVRA: act                           	Qtde: 112
PALAVRA: acting                        	Qtde: 48
PALAVRA: action                        	Qtde: 112
PALAVRA: actions                       	Qtde: 48
PALAVRA: active                        	Qtde: 112
PALAVRA: activity                      	Qtde: 32
PALAVRA: acts                          	Qtde: 16
PALAVRA: actual                        	Qtde: 16
PALAVRA: actually                      	Qtde: 112
PALAVRA: acute                         	Qtde: 32
PALAVRA: add                           	Qtde: 48
